Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,231.919998,232.559998,225.080002,226.979996,226.868668,46002600
2023-03-02,224.880005,233.800003,224.320007,233.139999,233.025681,38941500
2023-03-03,233.199997,239.000000,231.300003,238.899994,238.782852,41239300
2023-03-06,238.910004,242.479996,234.869995,235.539993,235.424484,43742900
2023-03-07,236.000000,241.250000,232.410004,232.880005,232.805328,51515400
2023-03-08,234.869995,242.000000,234.240005,241.809998,241.732468,51357300
2023-03-09,241.750000,244.539993,233.830002,234.360001,234.284866,50125700
2023-03-10,234.089996,236.270004,227.259995,229.649994,229.576370,47486600
2023-03-13,227.520004,232.979996,222.970001,229.660004,229.586365,42189000
2023-03-14,234.960007,242.190002,234.600006,240.630005,240.552841,47491000
2023-03-15,237.610001,242.860001,233.600006,242.279999,242.202301,52448600
2023-03-16,240.270004,255.880005,238.940002,255.410004,255.328110,58325300
2023-03-17,259.820007,263.989990,256.679993,257.250000,257.167542,84854700
2023-03-20,256.149994,260.239990,251.300003,259.000000,258.916962,43274700
2023-03-21,261.799988,263.920013,253.809998,261.989990,261.905975,54740800
2023-03-22,264.250000,275.890015,262.369995,264.679993,264.595123,79729500
2023-03-23,271.149994,274.989990,266.899994,271.910004,271.822815,56488900
2023-03-24,270.309998,271.670013,263.549988,267.790009,267.704132,45492000
2023-03-27,268.369995,270.000000,263.649994,265.309998,265.224945,36102600
2023-03-28,264.470001,265.130005,258.500000,264.100006,264.015320,35610400
2023-03-29,268.250000,270.779999,265.970001,269.839996,269.753479,39369400
2023-03-30,272.290009,274.989990,271.019989,273.829987,273.742188,36451600
2023-03-31,271.399994,278.339996,271.049988,277.769989,277.680908,43393300
